keyword,cluster,content_type,source,intent,audience,target_url,priority
prurido anal,coceira anal,blog-post,blog-secondary,awareness,patients,/blog/coceira-anal-quando-procurar-coloproctologista-curitiba,P3
tratamento prurido anal,coceira anal,blog-post,blog-secondary,awareness,patients,/blog/coceira-anal-quando-procurar-coloproctologista-curitiba,P3
a prisão de ventre pode causar hemorroidas,constipação intestinal crônica,blog-post,faq-question,awareness,patients,/blog/constipacao-intestinal-cronica-causas-tratamento,P3
causas constipação intestinal,constipação intestinal crônica,blog-post,blog-secondary,awareness,patients,/blog/constipacao-intestinal-cronica-causas-tratamento,P3
constipação intestinal crônica,constipação intestinal crônica,blog-post,blog-primary,awareness,patients,/blog/constipacao-intestinal-cronica-causas-tratamento,P3
posso usar laxantes por conta própria,constipação intestinal crônica,blog-post,faq-question,awareness,patients,/blog/constipacao-intestinal-cronica-causas-tratamento,P3
prisão de ventre é sempre causada por má alimentação,constipação intestinal crônica,blog-post,faq-question,awareness,patients,/blog/constipacao-intestinal-cronica-causas-tratamento,P3
prisão de ventre tratamento,constipação intestinal crônica,blog-post,blog-secondary,awareness,patients,/blog/constipacao-intestinal-cronica-causas-tratamento,P3
quando devo procurar um coloproctologista,constipação intestinal crônica,blog-post,faq-question,awareness,patients,/blog/constipacao-intestinal-cronica-causas-tratamento,P3
sintomas prisão de ventre,constipação intestinal crônica,blog-post,blog-secondary,awareness,patients,/blog/constipacao-intestinal-cronica-causas-tratamento,P3
tratamento intestino preso,constipação intestinal crônica,blog-post,blog-secondary,awareness,patients,/blog/constipacao-intestinal-cronica-causas-tratamento,P3
diarreia crônica pode ser apenas nervosa,diarreia crônica,blog-post,faq-question,consideration,patients,/blog/diarreia-cronica-tratamento,P3
diarreia crônica pode ser câncer,diarreia crônica,blog-post,faq-question,consideration,patients,/blog/diarreia-cronica-tratamento,P3
o que devo comer quando estou com diarreia frequente,diarreia crônica,blog-post,faq-question,consideration,patients,/blog/diarreia-cronica-tratamento,P3
quando a colonoscopia é indicada,diarreia crônica,blog-post,faq-question,consideration,patients,/blog/diarreia-cronica-tratamento,P3
dieta sozinha é suficiente para tratar sibo,disbiose intestinal,blog-post,faq-question,awareness,patients,/blog/disbiose-sibo-tratamento,P3
disbiose e sibo são a mesma coisa,disbiose intestinal,blog-post,faq-question,awareness,patients,/blog/disbiose-sibo-tratamento,P3
disbiose intestinal,disbiose intestinal,blog-post,blog-primary,awareness,patients,/blog/disbiose-sibo-tratamento,P3
inchaço abdominal tratamento,disbiose intestinal,blog-post,blog-secondary,awareness,patients,/blog/disbiose-sibo-tratamento,P3
microbiota intestinal,disbiose intestinal,blog-post,blog-secondary,awareness,patients,/blog/disbiose-sibo-tratamento,P3
probióticos resolvem sibo,disbiose intestinal,blog-post,faq-question,awareness,patients,/blog/disbiose-sibo-tratamento,P3
sibo sintomas,disbiose intestinal,blog-post,blog-secondary,awareness,patients,/blog/disbiose-sibo-tratamento,P3
sibo tem cura,disbiose intestinal,blog-post,faq-question,awareness,patients,/blog/disbiose-sibo-tratamento,P3
supercrescimento bacteriano,disbiose intestinal,blog-post,blog-secondary,awareness,patients,/blog/disbiose-sibo-tratamento,P3
disfunção evacuatória,distúrbios do assoalho pélvico,blog-post,blog-secondary,awareness,patients,/blog/disturbios-assoalho-pelvico-funcionamento-intestino,P3
distúrbios do assoalho pélvico,distúrbios do assoalho pélvico,blog-post,blog-primary,awareness,patients,/blog/disturbios-assoalho-pelvico-funcionamento-intestino,P3
distúrbios do assoalho pélvico têm tratamento,distúrbios do assoalho pélvico,blog-post,faq-question,awareness,patients,/blog/disturbios-assoalho-pelvico-funcionamento-intestino,P3
esses distúrbios podem piorar com o tempo,distúrbios do assoalho pélvico,blog-post,faq-question,awareness,patients,/blog/disturbios-assoalho-pelvico-funcionamento-intestino,P3
evacuação incompleta,distúrbios do assoalho pélvico,blog-post,blog-secondary,awareness,patients,/blog/disturbios-assoalho-pelvico-funcionamento-intestino,P3
fisioterapia pélvica,distúrbios do assoalho pélvico,blog-post,blog-secondary,awareness,patients,/blog/disturbios-assoalho-pelvico-funcionamento-intestino,P3
fisioterapia pélvica realmente funciona,distúrbios do assoalho pélvico,blog-post,faq-question,awareness,patients,/blog/disturbios-assoalho-pelvico-funcionamento-intestino,P3
incontinencia fecal,distúrbios do assoalho pélvico,blog-post,blog-secondary,awareness,patients,/blog/disturbios-assoalho-pelvico-funcionamento-intestino,P3
incontinência fecal é normal com a idade,distúrbios do assoalho pélvico,blog-post,faq-question,awareness,patients,/blog/disturbios-assoalho-pelvico-funcionamento-intestino,P3
crohn e retocolite ulcerativa são a mesma doença,doenças inflamatórias intestinais,blog-post,faq-question,consideration,patients,/blog/doencas-inflamatorias-intestinais-acompanhamento,P3
doença de crohn e retocolite ulcerativa têm cura,doenças inflamatórias intestinais,blog-post,faq-question,consideration,patients,/blog/doencas-inflamatorias-intestinais-acompanhamento,P3
mesmo em remissão preciso continuar acompanhamento,doenças inflamatórias intestinais,blog-post,faq-question,consideration,patients,/blog/doencas-inflamatorias-intestinais-acompanhamento,P3
todo paciente com dii precisa de cirurgia,doenças inflamatórias intestinais,blog-post,faq-question,consideration,patients,/blog/doencas-inflamatorias-intestinais-acompanhamento,P3
beber pouca água interfere no efeito das fibras,fibras alimentares,blog-post,faq-question,awareness,general-public,/blog/alimentacao-fibras-saude-intestinal,P3
comer muita fibra pode causar gases,fibras alimentares,blog-post,faq-question,awareness,general-public,/blog/alimentacao-fibras-saude-intestinal,P3
constipação tratamento,fibras alimentares,blog-post,blog-secondary,awareness,general-public,/blog/alimentacao-fibras-saude-intestinal,P3
fibras alimentares,fibras alimentares,blog-post,blog-primary,awareness,general-public,/blog/alimentacao-fibras-saude-intestinal,P3
fibras solúveis insolúveis,fibras alimentares,blog-post,blog-secondary,awareness,general-public,/blog/alimentacao-fibras-saude-intestinal,P3
prevenção hemorroidas,fibras alimentares,blog-post,blog-secondary,awareness,general-public,/blog/alimentacao-fibras-saude-intestinal,P3
qual a quantidade ideal de fibras por dia,fibras alimentares,blog-post,faq-question,awareness,general-public,/blog/alimentacao-fibras-saude-intestinal,P3
saúde intestinal,fibras alimentares,blog-post,blog-secondary,awareness,general-public,/blog/alimentacao-fibras-saude-intestinal,P3
suplementos de fibras funcionam,fibras alimentares,blog-post,faq-question,awareness,general-public,/blog/alimentacao-fibras-saude-intestinal,P3
a cirurgia de fissura anal causa incontinência,fissura anal,blog-post,faq-question,consideration,patients,/blog/fissura-anal-tratamento,P3
a fissura anal pode cicatrizar sozinha,fissura anal,blog-post,faq-question,consideration,patients,/blog/fissura-anal-tratamento,P3
quando devo procurar um coloproctologista em curitiba,fissura anal,blog-post,faq-question,consideration,patients,/blog/fissura-anal-tratamento,P3
quando é indicado o uso de toxina botulínica,fissura anal,blog-post,faq-question,consideration,patients,/blog/fissura-anal-tratamento,P3
doença de crohn muda o tratamento da fístula,fístula anal,blog-post,faq-question,consideration,patients,/blog/tratamento-fistulas-anorretais,P3
fístula anal melhora sozinha,fístula anal,blog-post,faq-question,consideration,patients,/blog/tratamento-fistulas-anorretais,P3
para que serve o seton,fístula anal,blog-post,faq-question,consideration,patients,/blog/tratamento-fistulas-anorretais,P3
toda fístula precisa de cirurgia,fístula anal,blog-post,faq-question,consideration,patients,/blog/tratamento-fistulas-anorretais,P3
a ligadura elástica dói,hemorroida é cirúrgica,blog-post,faq-question,consideration,patients,/blog/hemorroida-sempre-cirurgica-tratamento,P3
hemorroida externa sempre precisa operar,hemorroida é cirúrgica,blog-post,faq-question,consideration,patients,/blog/hemorroida-sempre-cirurgica-tratamento,P3
posso operar durante uma crise hemorroidária,hemorroida é cirúrgica,blog-post,faq-question,consideration,patients,/blog/hemorroida-sempre-cirurgica-tratamento,P3
toda hemorroida precisa de cirurgia,hemorroida é cirúrgica,blog-post,faq-question,consideration,patients,/blog/hemorroida-sempre-cirurgica-tratamento,P3
a vacina funciona em adultos,HPV anal,blog-post,faq-question,awareness,patients,/blog/hpv-anal-condilomas-riscos-tratamento-rastreio,P3
cancer anal HPV,HPV anal,blog-post,blog-secondary,awareness,patients,/blog/hpv-anal-condilomas-riscos-tratamento-rastreio,P3
condilomas anais,HPV anal,blog-post,blog-secondary,awareness,patients,/blog/hpv-anal-condilomas-riscos-tratamento-rastreio,P3
condilomas podem voltar após o tratamento,HPV anal,blog-post,faq-question,awareness,patients,/blog/hpv-anal-condilomas-riscos-tratamento-rastreio,P3
HPV anal,HPV anal,blog-post,blog-primary,awareness,patients,/blog/hpv-anal-condilomas-riscos-tratamento-rastreio,P3
hpv anal sempre causa verrugas,HPV anal,blog-post,faq-question,awareness,patients,/blog/hpv-anal-condilomas-riscos-tratamento-rastreio,P3
hpv anal sempre evolui para câncer,HPV anal,blog-post,faq-question,awareness,patients,/blog/hpv-anal-condilomas-riscos-tratamento-rastreio,P3
rastreio HPV anal,HPV anal,blog-post,blog-secondary,awareness,patients,/blog/hpv-anal-condilomas-riscos-tratamento-rastreio,P3
vacina HPV adultos,HPV anal,blog-post,blog-secondary,awareness,patients,/blog/hpv-anal-condilomas-riscos-tratamento-rastreio,P3
quando procurar coloproctologista,landing-homepage,landing-page,landing-copy,awareness,patients,/,P3
sinais e sintomas intestinais,landing-homepage,landing-page,landing-copy,awareness,patients,/,P3
dor ao evacuar,landing-sintomas-condicoes,landing-page,landing-copy,awareness,patients,/,P3
evacuação incompleta,landing-sintomas-condicoes,landing-page,landing-copy,awareness,patients,/,P3
incontinência fecal,landing-sintomas-condicoes,landing-page,landing-copy,awareness,patients,/,P3
sangramento ao evacuar,landing-sintomas-condicoes,landing-page,landing-copy,awareness,patients,/,P3
saúde sexual coloproctologia,landing-sintomas-condicoes,landing-page,landing-copy,awareness,patients,/,P3
especialista em coloproctologia com formação internacional,marca-dra-ana-luiza,doctor-profile,doctor-name,awareness,patients,/sobre,P3
quem é dra ana luiza,marca-dra-ana-luiza,doctor-profile,doctor-name,awareness,patients,/sobre,P3
a cirurgia a laser é sempre melhor que a convencional,plicoma anal,blog-post,faq-question,consideration,patients,/blog/plicoma-anal-cirurgia-laser,P3
o plicoma pode virar câncer,plicoma anal,blog-post,faq-question,consideration,patients,/blog/plicoma-anal-cirurgia-laser,P3
preciso obrigatoriamente retirar o plicoma,plicoma anal,blog-post,faq-question,consideration,patients,/blog/plicoma-anal-cirurgia-laser,P3
quanto tempo dura a recuperação da cirurgia a laser,plicoma anal,blog-post,faq-question,consideration,patients,/blog/plicoma-anal-cirurgia-laser,P3
com que idade devo começar consultas de rotina,quando procurar coloproctologista,blog-post,faq-question,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P3
especialista cólon reto,quando procurar coloproctologista,blog-post,blog-secondary,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P3
o exame proctológico dói,quando procurar coloproctologista,blog-post,faq-question,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P3
o que devo levar para minha primeira consulta,quando procurar coloproctologista,blog-post,faq-question,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P3
preciso mesmo procurar um coloproctologista se o sangramento for pequeno,quando procurar coloproctologista,blog-post,faq-question,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P3
problemas intestinais,quando procurar coloproctologista,blog-post,blog-secondary,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P3
quando ir ao proctologista,quando procurar coloproctologista,blog-post,blog-secondary,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P3
quando procurar coloproctologista,quando procurar coloproctologista,blog-post,blog-primary,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P3
sintomas coloproctologia,quando procurar coloproctologista,blog-post,blog-secondary,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P3
tenho vergonha de falar sobre meus sintomas o que fazer,quando procurar coloproctologista,blog-post,faq-question,awareness,patients,/blog/quando-procurar-coloproctologista-curitiba,P3
causas sangue fezes,sangue nas fezes,blog-post,blog-secondary,awareness,patients,/blog/sangue-nas-fezes-quando-procurar-coloproctologista,P3
hemorroida sangramento,sangue nas fezes,blog-post,blog-secondary,awareness,patients,/blog/sangue-nas-fezes-quando-procurar-coloproctologista,P3
o sangue pode aparecer mesmo sem dor,sangue nas fezes,blog-post,faq-question,awareness,patients,/blog/sangue-nas-fezes-quando-procurar-coloproctologista,P3
preciso fazer colonoscopia se tiver sangue nas fezes,sangue nas fezes,blog-post,faq-question,awareness,patients,/blog/sangue-nas-fezes-quando-procurar-coloproctologista,P3
quando devo procurar um coloproctologista,sangue nas fezes,blog-post,faq-question,awareness,patients,/blog/sangue-nas-fezes-quando-procurar-coloproctologista,P3
quando preocupar sangramento,sangue nas fezes,blog-post,blog-secondary,awareness,patients,/blog/sangue-nas-fezes-quando-procurar-coloproctologista,P3
sangramento anal,sangue nas fezes,blog-post,blog-secondary,awareness,patients,/blog/sangue-nas-fezes-quando-procurar-coloproctologista,P3
sangue nas fezes,sangue nas fezes,blog-post,blog-primary,awareness,patients,/blog/sangue-nas-fezes-quando-procurar-coloproctologista,P3
sangue nas fezes sempre significa câncer,sangue nas fezes,blog-post,faq-question,awareness,patients,/blog/sangue-nas-fezes-quando-procurar-coloproctologista,P3
alterações anais podem afetar a vida sexual,saúde sexual,blog-post,faq-question,awareness,patients,/blog/saude-sexual-cuidado-informacao-bem-estar,P3
dor durante a relação sexual é normal,saúde sexual,blog-post,faq-question,awareness,patients,/blog/saude-sexual-cuidado-informacao-bem-estar,P3
dor na relação sexual,saúde sexual,blog-post,blog-secondary,awareness,patients,/blog/saude-sexual-cuidado-informacao-bem-estar,P3
existe tratamento para melhorar o conforto sexual,saúde sexual,blog-post,faq-question,awareness,patients,/blog/saude-sexual-cuidado-informacao-bem-estar,P3
HPV anal,saúde sexual,blog-post,blog-secondary,awareness,patients,/blog/saude-sexual-cuidado-informacao-bem-estar,P3
IST anal,saúde sexual,blog-post,blog-secondary,awareness,patients,/blog/saude-sexual-cuidado-informacao-bem-estar,P3
posso falar sobre práticas sexuais na consulta,saúde sexual,blog-post,faq-question,awareness,patients,/blog/saude-sexual-cuidado-informacao-bem-estar,P3
saúde anorretal,saúde sexual,blog-post,blog-secondary,awareness,patients,/blog/saude-sexual-cuidado-informacao-bem-estar,P3
saúde sexual,saúde sexual,blog-post,blog-primary,awareness,patients,/blog/saude-sexual-cuidado-informacao-bem-estar,P3
dor ao evacuar,sinais de alerta intestinais,blog-post,blog-secondary,awareness,patients,/blog/quando-intestino-da-sinais-de-alerta-coloproctologista-curitiba,P3
dor ao evacuar é normal,sinais de alerta intestinais,blog-post,faq-question,awareness,patients,/blog/quando-intestino-da-sinais-de-alerta-coloproctologista-curitiba,P3
mudança no hábito intestinal,sinais de alerta intestinais,blog-post,blog-secondary,awareness,patients,/blog/quando-intestino-da-sinais-de-alerta-coloproctologista-curitiba,P3
mudança no hábito intestinal pode ser estresse,sinais de alerta intestinais,blog-post,faq-question,awareness,patients,/blog/quando-intestino-da-sinais-de-alerta-coloproctologista-curitiba,P3
quando é urgente procurar atendimento,sinais de alerta intestinais,blog-post,faq-question,awareness,patients,/blog/quando-intestino-da-sinais-de-alerta-coloproctologista-curitiba,P3
quando procurar coloproctologista,sinais de alerta intestinais,blog-post,blog-secondary,awareness,patients,/blog/quando-intestino-da-sinais-de-alerta-coloproctologista-curitiba,P3
sangue nas fezes,sinais de alerta intestinais,blog-post,blog-secondary,awareness,patients,/blog/quando-intestino-da-sinais-de-alerta-coloproctologista-curitiba,P3
sangue nas fezes sempre é hemorroida,sinais de alerta intestinais,blog-post,faq-question,awareness,patients,/blog/quando-intestino-da-sinais-de-alerta-coloproctologista-curitiba,P3
sinais de alerta intestinais,sinais de alerta intestinais,blog-post,blog-primary,awareness,patients,/blog/quando-intestino-da-sinais-de-alerta-coloproctologista-curitiba,P3
a sii pode virar câncer,síndrome do intestino irritável,blog-post,faq-question,awareness,patients,/blog/sindrome-intestino-irritavel-sintomas-diagnostico-tratamento,P3
a sii tem cura,síndrome do intestino irritável,blog-post,faq-question,awareness,patients,/blog/sindrome-intestino-irritavel-sintomas-diagnostico-tratamento,P3
ansiedade causa sii,síndrome do intestino irritável,blog-post,faq-question,awareness,patients,/blog/sindrome-intestino-irritavel-sintomas-diagnostico-tratamento,P3
diagnóstico SII,síndrome do intestino irritável,blog-post,blog-secondary,awareness,patients,/blog/sindrome-intestino-irritavel-sintomas-diagnostico-tratamento,P3
eixo intestino cérebro,síndrome do intestino irritável,blog-post,blog-secondary,awareness,patients,/blog/sindrome-intestino-irritavel-sintomas-diagnostico-tratamento,P3
SII sintomas,síndrome do intestino irritável,blog-post,blog-secondary,awareness,patients,/blog/sindrome-intestino-irritavel-sintomas-diagnostico-tratamento,P3
síndrome do intestino irritável,síndrome do intestino irritável,blog-post,blog-primary,awareness,patients,/blog/sindrome-intestino-irritavel-sintomas-diagnostico-tratamento,P3
síndrome do intestino irritável é doença grave,síndrome do intestino irritável,blog-post,faq-question,awareness,patients,/blog/sindrome-intestino-irritavel-sintomas-diagnostico-tratamento,P3
tratamento síndrome do intestino irritável,síndrome do intestino irritável,blog-post,blog-secondary,awareness,patients,/blog/sindrome-intestino-irritavel-sintomas-diagnostico-tratamento,P3
exames normais significam que está tudo bem,sintomas intestinais persistentes,blog-post,faq-question,consideration,patients,/blog/por-que-meus-sintomas-nunca-melhoram,P3
hemorroida sempre volta,sintomas intestinais persistentes,blog-post,faq-question,consideration,patients,/blog/por-que-meus-sintomas-nunca-melhoram,P3
sintomas intestinais persistentes podem ser graves,sintomas intestinais persistentes,blog-post,faq-question,consideration,patients,/blog/por-que-meus-sintomas-nunca-melhoram,P3
usar laxante todos os dias faz mal,sintomas intestinais persistentes,blog-post,faq-question,consideration,patients,/blog/por-que-meus-sintomas-nunca-melhoram,P3
consulta com coloproctologista,vergonha de procurar coloproctologista,blog-post,blog-secondary,awareness,patients,/blog/sinto-vergonha-procurar-coloproctologista-isso-e-normal,P3
dor ao evacuar,vergonha de procurar coloproctologista,blog-post,blog-secondary,awareness,patients,/blog/sinto-vergonha-procurar-coloproctologista-isso-e-normal,P3
é normal ter vergonha de fazer exame proctológico,vergonha de procurar coloproctologista,blog-post,faq-question,awareness,patients,/blog/sinto-vergonha-procurar-coloproctologista-isso-e-normal,P3
exame proctológico,vergonha de procurar coloproctologista,blog-post,blog-secondary,awareness,patients,/blog/sinto-vergonha-procurar-coloproctologista-isso-e-normal,P3
o exame proctológico dói,vergonha de procurar coloproctologista,blog-post,faq-question,awareness,patients,/blog/sinto-vergonha-procurar-coloproctologista-isso-e-normal,P3
o médico vai me julgar,vergonha de procurar coloproctologista,blog-post,faq-question,awareness,patients,/blog/sinto-vergonha-procurar-coloproctologista-isso-e-normal,P3
preciso fazer exame já na primeira consulta,vergonha de procurar coloproctologista,blog-post,faq-question,awareness,patients,/blog/sinto-vergonha-procurar-coloproctologista-isso-e-normal,P3
sangue nas fezes,vergonha de procurar coloproctologista,blog-post,blog-secondary,awareness,patients,/blog/sinto-vergonha-procurar-coloproctologista-isso-e-normal,P3
vergonha de procurar coloproctologista,vergonha de procurar coloproctologista,blog-post,blog-primary,awareness,patients,/blog/sinto-vergonha-procurar-coloproctologista-isso-e-normal,P3
